Brand,Generic,Class,Treatment,Schedule
Augmentin,Amoxicillin/Clavulanate Potassium ,Penicillin Antibiotic ,Bacterial Infection ,NCLM
Rheumatrex,Methotrexate,Anti-Metabolite ,"Rheumatoid Arthritis, Psoriasis ",NCLM
N/A ,Hydrocodone Bitartrate ,Opioid Analgesic ,Pain Relief ,II
Remeron,Mirtazapine,Antidepressant,Depression,NCLM
ProCardia,Nifedipine,Calcium Channel Blocker ,Antihypertensive,NCLM
Phenergan,Promethazine,"H1RA, Anti-Histamine","Nausea/Vomiting, Allergies",NCLM
Tessalon Perles,Benzonatate,Antitussive,Cough,NCLM
Namenda,Memantine,NMDA Receptor Antagonist,Alzheimer's,NCLM
Cardura,Doxazosin,Alpha-1 Blocker,"Enlarged Prostate, Antihypertensive",NCLM
Zetia,Ezetimibe,Cholesterol Absorption Inhibitor,Cholesterol Lowering,NCLM
Fosamax,Alendronate,Bisphosphonate,Osteoporosis,NCLM
Vyvanse,Lisdexamfetamine,Stimulant,ADHD,II
Feosol,Ferrous Sulfate ,Iron Supplement ,Iron Supplement ,NCLM
Eliquis,Apixaban,Factor Xa Inhibitor ,"Anticoagulation, Blood Thinner ",NCLM
Voltaren,Diclofenac,NSAID,Pain/Inflammation Relief ,OTC & NCLM as tablet 
Bactrim,Sulfamethoxazole/TMP ,Sulfonamide Antibiotic ,Bacterial Infection ,NCLM
Vasotec,Enalapril,ACEi,Antihypertensive,NCLM
Colase,Docusate,Stool Softener ,Stool Softener ,OTC
Humalog,Insulin Lispro ,Short-Acting Insulin ,Diabetes Agents ,NCLM
Actos,Pioglitazone,Thiazolidinedione,Diabetes Agent ,NCLM
Valtrex,Valacyclovir,Anti-Viral,Viral Infections,NCLM
Paxlovid,Nirmatrelvir/ritonavir,Anti-Viral,COVID,NCLM
Coritzone,Hydrocortisone,Corticosteroid,Anti-Inflammatory,NCLM
MS Contin,Morphine,Opioid Analgesic,Pain Relief,II
Risperdal,Risperidone,Anti-Psychotic,Mood Disorders,NCLM
Januvia,Sitagliptin,DPP-4 Inhibitor ,Diabetes Agent ,NCLM
